DateTime,VRV_02-RAT,VRV_02-TEMP_SP,VRV_02-KW,VRV_02-WD,VRV_02-Status,OAT,RH
2022-08-01 00:00:00,26.4,25.0,0.09,5.0,0.0,27.9,85.0
2022-08-01 00:10:00,26.4,25.0,0.09,5.0,0.0,27.93,84.33
2022-08-01 00:20:00,26.4,25.0,0.09,5.0,0.0,27.97,83.67
2022-08-01 00:30:00,26.4,25.0,0.09,5.0,0.0,28.0,83.0
2022-08-01 00:40:00,26.639999999999997,25.0,0.09,5.0,0.0,28.03,82.33
2022-08-01 00:50:00,26.8,25.0,0.09,5.0,0.0,28.07,81.67
2022-08-01 01:00:00,26.8,25.0,0.09,5.0,0.0,28.1,81.0
2022-08-01 01:10:00,26.8,25.0,0.09,5.0,0.0,28.13,80.0
2022-08-01 01:20:00,26.8,25.0,0.09,5.0,0.0,28.17,79.0
2022-08-01 01:30:00,26.8,25.0,0.09,5.0,0.0,28.2,78.0
2022-08-01 01:40:00,26.8,25.0,0.09,5.0,0.0,28.23,77.0
2022-08-01 01:50:00,26.8,25.0,0.09,5.0,0.0,28.27,76.0
2022-08-01 02:00:00,27.01,25.0,0.09,5.0,0.0,28.3,75.0
2022-08-01 02:10:00,27.1,25.0,0.09,5.0,0.0,28.25,75.0
2022-08-01 02:20:00,27.1,25.0,0.09,5.0,0.0,28.2,75.0
2022-08-01 02:30:00,27.1,25.0,0.09,5.0,0.0,28.15,75.0
2022-08-01 02:40:00,27.1,25.0,0.09,5.0,0.0,28.1,75.0
2022-08-01 02:50:00,27.1,25.0,0.09,5.0,0.0,28.05,75.0
2022-08-01 03:00:00,27.1,25.0,0.09,5.0,0.0,28.0,75.0
2022-08-01 03:10:00,27.1,25.0,0.09,5.0,0.0,27.92,75.67
2022-08-01 03:20:00,27.1,25.0,0.09,5.0,0.0,27.83,76.33
2022-08-01 03:30:00,27.1,25.0,0.09,5.0,0.0,27.75,77.0
2022-08-01 03:40:00,27.1,25.0,0.09,5.0,0.0,27.67,77.67
2022-08-01 03:50:00,27.1,25.0,0.09,5.0,0.0,27.58,78.33
2022-08-01 04:00:00,27.1,25.0,0.09,5.0,0.0,27.5,79.0
2022-08-01 04:10:00,27.1,25.0,0.09,5.0,0.0,27.53,78.83
2022-08-01 04:20:00,27.1,25.0,0.09,5.0,0.0,27.57,78.67
2022-08-01 04:30:00,27.139999999999997,25.0,0.09,5.0,0.0,27.6,78.5
2022-08-01 04:40:00,27.26,25.0,0.09,5.0,0.0,27.63,78.33
2022-08-01 04:50:00,27.3,25.0,0.09,5.0,0.0,27.67,78.17
2022-08-01 05:00:00,27.46,25.0,0.09,5.0,0.0,27.7,78.0
2022-08-01 05:10:00,27.5,25.0,0.09,5.0,0.0,27.88,78.33
2022-08-01 05:20:00,27.5,25.0,0.09,5.0,0.0,28.07,78.67
2022-08-01 05:30:00,27.5,25.0,0.09,5.0,0.0,28.25,79.0
2022-08-01 05:40:00,27.5,25.0,0.09,5.0,0.0,28.43,79.33
2022-08-01 05:50:00,27.5,25.0,0.09,5.0,0.0,28.62,79.67
